,time,x,y,goalx,goaly,yaw,steer,throttle
46,9.152301549911499,-6.14182025732255,7.457260420431833,-9.3,7.8,-2.7123764342930676,-0.4835858041337593,0.7
47,9.35396695137024,-6.165568812827093,7.447960275343772,-9.3,7.8,-2.7131621501105814,-0.4862479869887587,0.7
48,9.555415391921997,-6.2439350524915245,7.416293631691821,-9.3,7.8,-2.7144188030058047,-0.4968683610116895,0.7
49,9.767597913742065,-6.289051629246485,7.39287367604515,-9.3,7.8,-2.7144290566834433,-0.5054073994671442,0.7
50,9.969111442565918,-6.332738145133285,7.3701881006769625,-9.3,7.8,-2.7144482364510503,-0.5138957262174939,0.7
51,10.171132564544678,-6.373596531905615,7.34475181115492,-9.3,7.8,-2.714653048332282,-0.5231415128534961,0.7
52,10.373109579086304,-6.432053823307078,7.318676300710234,-9.3,7.8,-2.716468752260258,-0.5322626993932849,0.7
53,10.575125694274902,-6.449722499681583,7.3124709582382605,-9.3,7.8,-2.7178081345240734,-0.5338721540626632,0.7
54,10.786725282669067,-6.505719949292574,7.283019923055916,-9.3,7.8,-2.7192736719984705,-0.5447375906020455,0.7
55,10.98857831954956,-6.543462398884467,7.264277264498395,-9.3,7.8,-2.7205121169572,-0.5517305383015317,0.7
56,11.19011664390564,-6.578693367209011,7.246543630590377,-9.3,7.8,-2.721769990312269,-0.5584185461548195,0.7
57,11.39217495918274,-6.6137487385356835,7.23693913379553,-9.3,7.8,-2.7244387149065017,-0.5613939511338889,0.7
58,11.596113204956055,-6.649605863257868,7.22624043019714,-9.3,7.8,-2.7273501847569577,-0.5646902556089299,0.7
59,11.808170080184937,-6.68507602126927,7.220550522320954,-9.3,7.8,-2.730144764463974,-0.5665656352380678,0.7
60,12.001724004745483,-6.742667122366085,7.210776078887676,-9.3,7.8,-2.735033259480529,-0.5697117078556613,0.7
61,12.213663339614868,-6.782994624123571,7.1926032817778855,-9.3,7.8,-2.738483006334468,-0.5759097545661507,0.7
62,12.41521668434143,-6.826850592104111,7.1823341156949105,-9.3,7.8,-2.7420382105676655,-0.5798669289810435,0.7
63,12.617238759994507,-6.8702832615970655,7.175851809625621,-9.3,7.8,-2.745642042985081,-0.5826554988209489,0.7
64,12.81870150566101,-6.906885556998657,7.161870655350461,-9.3,7.8,-2.748709475023167,-0.5881248975136129,0.7
65,13.020456314086914,-6.948615631063673,7.1524040330644,-9.3,7.8,-2.751538390678015,-0.5929218729952934,0.7
66,13.23257327079773,-6.985268605027232,7.146790404089986,-9.3,7.8,-2.753936459809246,-0.5964306714924886,0.7
67,13.434803009033203,-7.03817754275679,7.138532904268351,-9.3,7.8,-2.757797204116789,-0.6001743779069443,0.7
68,13.636856317520142,-7.083310472113297,7.144383668184682,-9.3,7.8,-2.7596779193013066,-0.602532461247827,0.7
69,13.838470697402954,-7.131728794168664,7.149208395070216,-9.3,7.8,-2.760732128976736,-0.6052037246197183,0.7
